,dataset,user_vector,content_vector,alg_type,CF_CB,N,rating_stdev,item_coverage,serendipity,user_coverage,pred_n,avg_mean_rank,pred_coverage,novelty,cat_diversity,avg_highest_rank,mae,avg_lowest_rank,content_serendipity,rmse,cat_coverage,ils,rmse_adj,mae_adj,users,items,ratings,rating_min,rating_max,rating_mean,density,rating_variance
0,movielens_1m,pos_ratings,genre,cb_vect,CB,1000,0.488502185,100,0.127970211,100,0.004157153,395.4624543,41.64106145,-1.568679343,0.152631276,193.8351367,0.533677365,627.576628,0.253969488,0.579860771,28.30455703,0.34508731,1.93504826,1.154980241,6038,3533,575281,4,5,4.393390361,0.026967661,0.238634385
1,movielens_1m,pos_ratings,genre,cf_user,CF,1000,0.488502185,84.96008241,0.047090732,100,0.005376436,432.5277584,53.93331006,-0.303702581,0.148924393,203.7105263,0.442797603,695.2648618,0.448649042,0.474636142,28.30455703,0.741083963,4.50163663,3.234777062,6038,3533,575281,4,5,4.393390361,0.026967661,0.238634385
6,movielens_1m,pos_ratings,tags,cb_vect,CB,1000,0.488502185,99.97424672,0.087713302,100,0.00676749,296.6634096,67.87534916,-1.179848938,0.20593503,95.26465268,0.474832963,594.3775326,0.6782516,0.488213863,28.30455703,0.768383153,4.170455426,2.501643091,6038,3533,575281,4,5,4.393390361,0.026967661,0.238634385
8,movielens_1m,pos_ratings,genre,cf_item,CF,1000,0.488502185,90.60005151,0.350344079,100,0.000363731,715.3964386,3.650488827,-2.014547258,0.137668135,658.1006944,0.440990006,768.6944444,0.464566603,0.471052309,28.30455703,0.774112203,4.589051765,3.276144183,6038,3533,575281,4,5,4.393390361,0.026967661,0.238634385
18,movielens_1m,pos_ratings,tags,cb_vect,CB,100,0.488502185,84.39351017,0.092883937,100,0.020694396,41.78449658,20.76117318,-0.677915472,0.40094259,25.18114086,0.492476857,59.62328289,0.627176721,0.495793889,2.830455703,0.676194408,3.98556708,2.097859971,6038,3533,575281,4,5,4.393390361,0.026967661,0.238634385
20,movielens_1m,pos_ratings,genre,cf_mllib,CF,100,0.488502185,79.13984033,0.093115599,100,0.002064045,63.05991756,2.082751397,-0.532199282,0.133088621,59.37541528,0.365663606,66.63565891,0.447877901,0.513350756,2.830455703,0.717696333,3.557328456,5,6038,3533,575281,4,5,4.393390361,0.026967661,0.238634385
22,movielens_1m,pos_ratings,genre,cb_vect,CB,100,0.488502185,99.89698687,0.242384356,100,0.007441699,48.65770108,7.452863128,-1.407463806,0.203973386,40.03206883,0.540449453,57.44231521,0.233705493,0.618195748,2.830455703,0.157916732,1,1,6038,3533,575281,4,5,4.393390361,0.026967661,0.238634385
23,movielens_1m,pos_ratings,genre,cb_kmeans_100,CB,100,0.488502185,28.56039145,0.24748427,100,0.004963453,40.77752694,4.979050279,-1.223088333,0.222208334,34.96049256,0.531984222,46.68394048,0.343158703,0.57694733,2.802151146,0.514481229,2.006111514,1.193728079,6038,3533,575281,4,5,4.393390361,0.026967661,0.238634385
28,movielens_1m,pos_ratings,tags,cb_kmeans_1000,CB,1000,0.488502185,98.78959567,0.106437159,100,0.005077967,239.4330838,50.93924581,-1.278809422,0.177065973,84.8877551,0.464157996,476.202192,0.705615008,0.481821595,28.30455703,0.830240854,4.326372521,2.745941307,6038,3533,575281,4,5,4.393390361,0.026967661,0.238634385
34,movielens_1m,pos_ratings,genre,cf_user,CB,100,0.488502185,26.7576616,0.018797373,100,0.005551688,74.03626136,5.563896648,-0.048777623,0.135727164,70.8918194,0.399809638,77.24407689,0.459536021,0.454204311,2.830455703,0.747938686,5,4.218563018,6038,3533,575281,4,5,4.393390361,0.026967661,0.238634385
37,movielens_1m,pos_ratings,genre,cf_mllib,CF,1000,0.488502185,90.60005151,0.079067711,100,0.004777236,546.4529346,47.92074022,-0.716880682,0.150897113,325.3848783,0.433535879,773.8803539,0.447789535,0.481792464,28.30455703,0.754892631,4.327083091,3.446732976,6038,3533,575281,4,5,4.393390361,0.026967661,0.238634385
39,movielens_1m,pos_ratings,genre,cb_kmeans_1000,CB,1000,0.488502185,76.28122586,0.139120074,100,0.003832057,373.1220289,38.47590782,-1.530439271,0.188760892,189.3398758,0.518656427,580.6130583,0.355796519,0.55898541,28.30455703,0.623421027,2.44423,1.498736628,6038,3533,575281,4,5,4.393390361,0.026967661,0.238634385
40,movielens_1m,pos_ratings,genre,cf_item,CB,100,0.488502185,77.74916302,0.357078143,100,6.27E-05,74.43103448,0.061103352,-2.907800407,0.126376634,72.31034483,0.507591796,76.31034483,0.484455545,0.539761423,2.830455703,0.767696855,2.913132209,1.751952361,6038,3533,575281,4,5,4.393390361,0.026967661,0.238634385
41,movielens_1m,pos_ratings,tags,cb_kmeans_100,CB,100,0.488502185,67.80839557,0.201608978,100,0.009192482,34.80619819,9.221368715,-1.100615078,0.219388851,26.21400133,0.467776791,43.831785,0.670943791,0.483458228,2.802151146,0.753347732,4.28645256,2.663124648,6038,3533,575281,4,5,4.393390361,0.026967661,0.238634385
2,movielens_1m,ratings_to_interact,genre,cb_vect,CB,1000,0.740000403,100,0.127514853,100,0.006613988,400.9482443,39.24082228,-1.441653557,0.156393965,155.6239395,0.709689069,691.7866101,0.211578449,0.791902571,26.98327037,0.361282978,2.667563537,2.476341909,6040,3706,1000209,-1,1,0.672606425,0.044683626,0.547600597
5,movielens_1m,ratings_to_interact,genre,cb_kmeans_100,CB,100,0.740000403,29.95106876,0.274340894,100,0.008350706,43.63283527,4.959015984,-1.398865614,0.233711957,34.74929078,0.727146428,52.6751773,0.295660099,0.820626117,2.698327037,0.514850498,2.532969742,2.410497814,6040,3706,1000209,-1,1,0.672606425,0.044683626,0.547600597
7,movielens_1m,ratings_to_interact,genre,cf_user,CF,1000,0.740000403,95.18413598,0.057604609,100,0.00707078,536.8766012,42.00337457,-0.38372993,0.148031715,272.1235262,0.237164842,803.9457646,0.37800989,0.474518993,26.98327037,0.737184749,4.154770635,4.258566266,6040,3706,1000209,-1,1,0.672606425,0.044683626,0.547600597
