,content_vector,rating_stdev,dataset,item_coverage,serendipity,rating_max,rating_mean,user_coverage,pred_n,ratings,avg_mean_rank,density,pred_coverage,novelty,cat_diversity,rating_min,CF_CB,avg_highest_rank,rating_variance,alg_type,users,N,mae,avg_lowest_rank,user_vector,content_serendipity,rmse,cat_coverage,ils,items,rmse_adj,mae_adj
0,genre,0.4885021850243223,movielens_1m,100.0,0.12797021065746111,4.0,4.393390360536854,100.0,0.004157152801949182,575281,395.4624542663678,0.026967661270112384,41.641061452513966,-1.5686793430324155,0.1526312756781094,5.0,CB,193.83513673027736,0.23863438477353724,cb_vect,6038,1000,0.5336773650626043,627.576627975605,pos_ratings,0.2539694878338052,0.5798607708943431,28.30455703368242,0.34508731040764296,3533,4.064951737865545,4.845019760027366
1,genre,0.4885021850243226,movielens_1m,84.96008241050734,0.04709073185500832,5.0,4.393390360536845,100.0,0.005376435781413157,575281,432.5277584253711,0.026967661270112384,53.93331005586592,-0.30370258131215044,0.14892439274414246,4.0,CF,203.71052631578945,0.2386343847735375,cf_user,6038,1000,0.4427976029096797,695.2648617947748,pos_ratings,0.4486490422999672,0.4746361421538594,28.30455703368242,0.7410839625040291,3533,1.4983633701770493,2.7652229377295434
6,tags,0.4885021850243222,movielens_1m,99.97424671645635,0.08771330247426717,4.0,4.393390360536851,100.0,0.0067674904281239115,575281,296.6634095916969,0.026967661270112384,67.87534916201118,-1.179848937836136,0.20593502950327772,5.0,CB,95.2646526772793,0.23863438477353716,cb_vect,6038,1000,0.4748329633926082,594.3775325615052,pos_ratings,0.6782515998435079,0.4882138625432056,28.30455703368242,0.7683831527119995,3533,1.8295445739327763,3.498356908980984
8,genre,0.4885021850243226,movielens_1m,90.6000515065671,0.3503440792474129,5.0,4.393390360536845,100.0,0.0003637312913331013,575281,715.3964386235872,0.026967661270112384,3.6504888268156432,-2.0145472575523593,0.1376681346066721,4.0,CF,658.1006944444445,0.2386343847735375,cf_item,6038,1000,0.4409900061158765,768.6944444444445,pos_ratings,0.4645666034226626,0.4710523087295162,28.30455703368242,0.7741122030522316,3533,1.4109482346830753,2.7238558172762404
18,tags,0.4885021850243221,movielens_1m,84.39351017254701,0.09288393713532599,4.0,4.393390360536853,100.0,0.02069439610163592,575281,41.784496575084425,0.026967661270112384,20.76117318435755,-0.6779154715850573,0.4009425901356193,5.0,CB,25.181140861466822,0.238634384773537,cb_vect,6038,100,0.492476857022495,59.623282887078,pos_ratings,0.6271767207073534,0.4957938889314208,2.8304557033682416,0.6761944079734802,3533,2.0144329198232285,3.902140028952743
20,genre,0.4885021850243226,movielens_1m,79.13984032964203,0.09311559910844217,5.0,4.393390360536847,100.0,0.002064044552732336,575281,63.059917558754776,0.026967661270112384,2.0827513966480447,-0.5321992818694941,0.13308862055466894,4.0,CF,59.375415282392034,0.2386343847735375,cf_mllib,6038,100,0.3656636064501084,66.63565891472868,pos_ratings,0.4478779013910562,0.5133507557784198,2.8304557033682416,0.7176963327815208,3533,2.442671543821593,1.0
22,genre,0.4885021850243222,movielens_1m,99.89698686582537,0.24238435590004814,4.0,4.393390360536847,100.0,0.007441698572920292,575281,48.657701081997146,0.026967661270112384,7.45286312849162,-1.4074638056564848,0.20397338616950572,5.0,CB,40.03206883066093,0.2386343847735371,cb_vect,6038,100,0.5404494531801134,57.442315213140404,pos_ratings,0.2337054927930822,0.6181957479698232,2.8304557033682416,0.1579167323829143,3533,5.0,5.0
23,genre,0.4885021850243222,movielens_1m,28.560391449909858,0.24748427047119445,4.0,4.393390360536847,100.0,0.004963452836756004,575281,40.777526936890695,0.026967661270112384,4.979050279329608,-1.223088333092561,0.22220833403849166,5.0,CB,34.96049256028733,0.2386343847735371,cb_kmeans_100,6038,100,0.5319842215988779,46.68394048229861,pos_ratings,0.3431587034158701,0.5769473297002481,2.80215114633456,0.5144812293020071,3533,3.9938884861514357,4.806271920991135
28,tags,0.4885021850243222,movielens_1m,98.78959567344835,0.1064371585783521,4.0,4.393390360536851,100.0,0.00507796728158719,575281,239.43308382586238,0.026967661270112384,50.93924581005586,-1.2788094221291089,0.1770659734026691,5.0,CB,84.88775510204081,0.23863438477353716,cb_kmeans_1000,6038,1000,0.4641579957502228,476.20219198790636,pos_ratings,0.7056150079398392,0.4818215954397077,28.30455703368242,0.8302408540732621,3533,1.6736274793573367,3.2540586928016104
34,genre,0.4885021850243226,movielens_1m,26.757661601854238,0.018797373329524542,5.0,4.393390360536847,100.0,0.00555168813087365,575281,74.03626136194306,0.026967661270112384,5.563896648044693,-0.0487776233146912,0.1357271643058637,4.0,CB,70.89181940098347,0.2386343847735375,cf_user,6038,100,0.3998096375857629,77.24407688869022,pos_ratings,0.4595360213076761,0.4542043108306447,2.8304557033682416,0.7479386857816177,3533,1.0,1.7814369818718898
37,genre,0.4885021850243226,movielens_1m,90.6000515065671,0.07906771081474834,5.0,4.393390360536845,100.0,0.004777236338322311,575281,546.4529345986043,0.026967661270112384,47.92074022346369,-0.7168806817701309,0.1508971130304705,4.0,CF,325.3848783430525,0.2386343847735375,cf_mllib,6038,1000,0.4335358794377139,773.8803539111201,pos_ratings,0.4477895353251214,0.4817924635929036,28.30455703368242,0.7548926312926865,3533,1.672916909407776,2.553267023787093
39,genre,0.4885021850243227,movielens_1m,76.28122585629667,0.13912007376624036,4.0,4.3933903605368485,100.0,0.0038320570831883046,575281,373.12202894914805,0.026967661270112384,38.47590782122905,-1.5304392710739323,0.18876089155325573,5.0,CB,189.33987582615663,0.2386343847735376,cb_kmeans_1000,6038,1000,0.5186564272426153,580.6130582815942,pos_ratings,0.3557965186246936,0.5589854096545916,28.30455703368242,0.6234210271628249,3533,3.5557699999913988,4.50126337240195
40,genre,0.4885021850243226,movielens_1m,77.74916301828483,0.3570781426953567,5.0,4.393390360536847,100.0,6.265227984684998e-05,575281,74.43103448275863,0.026967661270112384,0.061103351955307264,-2.907800407133008,0.12637663413711614,4.0,CB,72.3103448275862,0.2386343847735375,cf_item,6038,100,0.5075917956665497,76.3103448275862,pos_ratings,0.4844555445894303,0.5397614228775702,2.8304557033682416,0.7676968551821144,3533,3.0868677911350635,4.248047639364769
41,tags,0.4885021850243221,movielens_1m,67.80839557043524,0.2016089781896256,4.0,4.393390360536853,100.0,0.009192481726418376,575281,34.8061981915084,0.026967661270112384,9.221368715083797,-1.1006150779847663,0.21938885104270997,5.0,CB,26.21400132714001,0.238634384773537,cb_kmeans_100,6038,100,0.4677767907131785,43.831785003317854,pos_ratings,0.6709437905358103,0.4834582283825327,2.80215114633456,0.7533477322171409,3533,1.7135474403352018,3.336875351716693
2,genre,0.7400004031774824,movielens_1m,100.0,0.12751485285752473,-1.0,0.6726064252571212,100.0,0.006613987895090787,1000209,400.9482442651522,0.04468362562231285,39.24082227613543,-1.4416535569485864,0.15639396520407345,1.0,CB,155.62393950571746,0.5476005967028366,cb_vect,6040,1000,0.7096890692552833,691.7866101069716,ratings_to_interact,0.21157844865367825,0.7919025714209332,26.983270372369127,0.3612829779069312,3706,3.3324364632869488,3.523658091235666
5,genre,0.7400004031774826,movielens_1m,29.951068761267067,0.27434089375365983,-1.0,0.6726064252571214,100.0,0.008350706119704102,1000209,43.63283526756935,0.04468362562231285,4.959015984265333,-1.398865614433224,0.23371195719838386,1.0,CB,34.74929078014184,0.5476005967028369,cb_kmeans_100,6040,100,0.7271464280886712,52.67517730496454,ratings_to_interact,0.2956600994840464,0.8206261165603544,2.698327037236913,0.5148504981733537,3706,3.4670302582233083,3.589502186232667
7,genre,0.7400004031774822,movielens_1m,95.18413597733714,0.057604608970414625,1.0,0.6726064252571209,100.0,0.007070780094149294,1000209,536.8766012238073,0.04468362562231285,42.003374566947215,-0.3837299299358867,0.14803171474230511,-1.0,CF,272.1235262107745,0.5476005967028362,cf_user,6040,1000,0.2371648416709006,803.9457645565027,ratings_to_interact,0.378009890393154,0.4745189934545272,26.983270372369127,0.7371847491732705,3706,1.8452293653597813,1.7414337337947288
9,genre,0.7400004031774822,movielens_1m,95.15838269379348,0.1040211072205679,1.0,0.6726064252571209,100.0,0.007070948217888366,1000209,552.8028340163785,0.04468362562231285,41.98740028554028,-0.8473984674463262,0.15113603549518784,-1.0,CF,270.8559306401033,0.5476005967028362,cf_mllib,6040,1000,0.18785316825874332,808.2466334624607,ratings_to_interact,0.3693388942744613,0.4645474149497707,26.983270372369127,0.7488187288036867,3706,1.7985041931727643,1.5554444017543414
10,genre,0.7400004031774826,movielens_1m,99.97424671645635,0.21824552371410466,-1.0,0.6726064252571214,100.0,0.011704774714189644,1000209,46.73657716339334,0.04468362562231285,6.9997304340012585,-1.3674333225031192,0.2108674302827916,1.0,CB,34.142502328469426,0.5476005967028369,cb_vect,6040,100,0.5525801243631651,59.45638000620925,ratings_to_interact,0.19887863288289684,0.6841272856891557,2.698327037236913,0.1758204626425474,3706,2.8274192505236795,2.9310887116929494
